[sync] starting: tasks=128 update_batch=4 max_new_tokens=96 dataset=data/gsm8k_train.jsonl
[sync][1/128 t= 21.7s] gen_s=21.708 tok_s=4.422 r=0.000 upd=0 pv=0
[sync][2/128 t= 24.4s] gen_s=2.670 tok_s=35.952 r=0.000 upd=0 pv=0
[sync][3/128 t= 27.1s] gen_s=2.728 tok_s=35.194 r=0.000 upd=0 pv=0
[sync][4/128 t= 37.2s] gen_s=2.695 tok_s=35.623 r=0.000 upd=1 pv=1
[sync][5/128 t= 39.9s] gen_s=2.702 tok_s=35.536 r=0.000 upd=1 pv=1
[sync][6/128 t= 42.6s] gen_s=2.705 tok_s=35.494 r=0.000 upd=1 pv=1
[sync][7/128 t= 45.3s] gen_s=2.630 tok_s=35.368 r=0.000 upd=1 pv=1
[sync][8/128 t= 48.5s] gen_s=2.724 tok_s=35.242 r=0.000 upd=2 pv=2
[sync][9/128 t= 51.2s] gen_s=2.701 tok_s=35.550 r=0.000 upd=2 pv=2
[sync][10/128 t= 53.8s] gen_s=2.696 tok_s=35.611 r=0.000 upd=2 pv=2
[sync][11/128 t= 56.5s] gen_s=2.701 tok_s=35.547 r=0.000 upd=2 pv=2
[sync][12/128 t= 59.7s] gen_s=2.731 tok_s=35.161 r=0.000 upd=3 pv=3
[sync][13/128 t= 62.5s] gen_s=2.745 tok_s=34.972 r=0.000 upd=3 pv=3
[sync][14/128 t= 65.1s] gen_s=2.694 tok_s=35.643 r=0.000 upd=3 pv=3
[sync][15/128 t= 67.8s] gen_s=2.700 tok_s=35.560 r=0.000 upd=3 pv=3
[sync][16/128 t= 71.0s] gen_s=2.707 tok_s=35.462 r=0.000 upd=4 pv=4
[sync][17/128 t= 73.7s] gen_s=2.721 tok_s=35.286 r=0.000 upd=4 pv=4
[sync][18/128 t= 76.4s] gen_s=2.694 tok_s=35.636 r=1.000 upd=4 pv=4
[sync][19/128 t= 79.1s] gen_s=2.707 tok_s=35.463 r=0.000 upd=4 pv=4
[sync][20/128 t= 82.3s] gen_s=2.747 tok_s=34.945 r=0.000 upd=5 pv=5
[sync][21/128 t= 85.0s] gen_s=2.707 tok_s=35.470 r=0.000 upd=5 pv=5
[sync][22/128 t= 87.7s] gen_s=2.701 tok_s=35.548 r=0.000 upd=5 pv=5
[sync][23/128 t= 90.4s] gen_s=2.697 tok_s=35.600 r=0.000 upd=5 pv=5
[sync][24/128 t= 93.6s] gen_s=2.743 tok_s=35.003 r=0.000 upd=6 pv=6
[sync][25/128 t= 96.3s] gen_s=2.713 tok_s=35.382 r=0.000 upd=6 pv=6
[sync][26/128 t= 99.0s] gen_s=2.702 tok_s=35.535 r=0.000 upd=6 pv=6
[sync][27/128 t=101.7s] gen_s=2.713 tok_s=35.390 r=0.000 upd=6 pv=6
[sync][56/128 t=184.7s] gen_s=2.748 tok_s=34.932 r=0.000 upd=14 pv=14
[sync][57/128 t=187.4s] gen_s=2.721 tok_s=35.284 r=0.000 upd=14 pv=14
[sync][58/128 t=190.1s] gen_s=2.729 tok_s=35.187 r=0.000 upd=14 pv=14
[sync][59/128 t=192.8s] gen_s=2.741 tok_s=35.022 r=0.000 upd=14 pv=14
[sync][60/128 t=196.0s] gen_s=2.753 tok_s=34.877 r=0.000 upd=15 pv=15
[sync][61/128 t=198.8s] gen_s=2.732 tok_s=35.147 r=0.000 upd=15 pv=15
[sync][62/128 t=201.5s] gen_s=2.727 tok_s=35.211 r=0.000 upd=15 pv=15
[sync][63/128 t=204.3s] gen_s=2.773 tok_s=34.627 r=0.000 upd=15 pv=15
[sync][64/128 t=207.4s] gen_s=2.748 tok_s=34.939 r=0.000 upd=16 pv=16
[sync][65/128 t=210.1s] gen_s=2.636 tok_s=36.427 r=0.000 upd=16 pv=16
[sync][66/128 t=212.7s] gen_s=2.635 tok_s=36.429 r=0.000 upd=16 pv=16
[sync][67/128 t=215.4s] gen_s=2.670 tok_s=35.961 r=0.000 upd=16 pv=16
[sync][68/128 t=218.5s] gen_s=2.686 tok_s=35.748 r=0.000 upd=17 pv=17
[sync][69/128 t=221.1s] gen_s=2.628 tok_s=36.534 r=0.000 upd=17 pv=17
[sync][70/128 t=223.7s] gen_s=2.566 tok_s=37.411 r=0.000 upd=17 pv=17
[sync][71/128 t=226.3s] gen_s=2.635 tok_s=36.434 r=0.000 upd=17 pv=17
[sync][72/128 t=229.3s] gen_s=2.630 tok_s=36.507 r=0.000 upd=18 pv=18
[sync][73/128 t=231.9s] gen_s=2.585 tok_s=37.134 r=0.000 upd=18 pv=18
[sync][74/128 t=234.6s] gen_s=2.714 tok_s=35.372 r=0.000 upd=18 pv=18
[sync][75/128 t=237.2s] gen_s=2.586 tok_s=37.129 r=0.000 upd=18 pv=18
[sync][76/128 t=240.2s] gen_s=2.610 tok_s=36.788 r=0.000 upd=19 pv=19
[sync][77/128 t=242.8s] gen_s=2.552 tok_s=37.617 r=0.000 upd=19 pv=19
[sync][78/128 t=245.4s] gen_s=2.611 tok_s=36.774 r=0.000 upd=19 pv=19
[sync][79/128 t=248.1s] gen_s=2.657 tok_s=36.130 r=0.000 upd=19 pv=19
[sync][80/128 t=251.0s] gen_s=2.590 tok_s=37.070 r=0.000 upd=20 pv=20
[sync][81/128 t=253.6s] gen_s=2.599 tok_s=36.945 r=0.000 upd=20 pv=20
[sync][82/128 t=256.3s] gen_s=2.607 tok_s=36.826 r=0.000 upd=20 pv=20
[sync][83/128 t=258.8s] gen_s=2.578 tok_s=37.244 r=0.000 upd=20 pv=20
[sync][84/128 t=261.9s] gen_s=2.689 tok_s=35.702 r=0.000 upd=21 pv=21
[sync][85/128 t=264.5s] gen_s=2.559 tok_s=37.514 r=0.000 upd=21 pv=21
[sync][86/128 t=267.1s] gen_s=2.636 tok_s=36.426 r=0.000 upd=21 pv=21
[sync][87/128 t=269.7s] gen_s=2.615 tok_s=36.713 r=0.000 upd=21 pv=21
[sync][88/128 t=272.9s] gen_s=2.753 tok_s=34.875 r=0.000 upd=22 pv=22
[sync][89/128 t=275.6s] gen_s=2.700 tok_s=35.562 r=0.000 upd=22 pv=22
[sync][90/128 t=278.3s] gen_s=2.669 tok_s=35.973 r=0.000 upd=22 pv=22
[sync][91/128 t=280.9s] gen_s=2.635 tok_s=36.433 r=0.000 upd=22 pv=22
[sync][92/128 t=284.0s] gen_s=2.637 tok_s=36.411 r=0.000 upd=23 pv=23
[sync][93/128 t=286.6s] gen_s=2.624 tok_s=36.592 r=0.000 upd=23 pv=23
[sync][94/128 t=289.2s] gen_s=2.625 tok_s=36.578 r=0.000 upd=23 pv=23
[sync][95/128 t=291.8s] gen_s=2.634 tok_s=36.449 r=0.000 upd=23 pv=23
[sync][96/128 t=294.9s] gen_s=2.655 tok_s=36.166 r=0.000 upd=24 pv=24
[sync][97/128 t=297.5s] gen_s=2.639 tok_s=36.375 r=0.000 upd=24 pv=24
[sync][98/128 t=300.2s] gen_s=2.641 tok_s=36.357 r=0.000 upd=24 pv=24
[sync][99/128 t=302.8s] gen_s=2.640 tok_s=36.364 r=0.000 upd=24 pv=24
[sync][100/128 t=305.9s] gen_s=2.689 tok_s=35.699 r=0.000 upd=25 pv=25
[sync][101/128 t=308.6s] gen_s=2.643 tok_s=36.329 r=0.000 upd=25 pv=25
[sync][102/128 t=311.2s] gen_s=2.638 tok_s=36.392 r=0.000 upd=25 pv=25
[sync][103/128 t=313.8s] gen_s=2.646 tok_s=36.278 r=0.000 upd=25 pv=25
[sync][104/128 t=316.9s] gen_s=2.632 tok_s=36.479 r=0.000 upd=26 pv=26
[sync][105/128 t=319.5s] gen_s=2.644 tok_s=36.308 r=0.000 upd=26 pv=26
[sync][106/128 t=322.2s] gen_s=2.643 tok_s=36.325 r=0.000 upd=26 pv=26
[sync][107/128 t=324.8s] gen_s=2.645 tok_s=36.297 r=0.000 upd=26 pv=26
[sync][108/128 t=327.9s] gen_s=2.683 tok_s=35.783 r=0.000 upd=27 pv=27
[sync][109/128 t=330.7s] gen_s=2.795 tok_s=34.345 r=0.000 upd=27 pv=27
[sync][110/128 t=333.3s] gen_s=2.627 tok_s=36.542 r=0.000 upd=27 pv=27
[sync][111/128 t=336.0s] gen_s=2.629 tok_s=36.512 r=0.000 upd=27 pv=27
[sync][112/128 t=339.1s] gen_s=2.717 tok_s=35.330 r=0.000 upd=28 pv=28
[sync][113/128 t=341.7s] gen_s=2.627 tok_s=36.550 r=0.000 upd=28 pv=28
[sync][114/128 t=344.3s] gen_s=2.623 tok_s=36.609 r=0.000 upd=28 pv=28
[sync][115/128 t=346.9s] gen_s=2.615 tok_s=36.710 r=0.000 upd=28 pv=28
[sync][116/128 t=350.0s] gen_s=2.666 tok_s=36.006 r=0.000 upd=29 pv=29
[sync][117/128 t=352.6s] gen_s=2.608 tok_s=36.817 r=0.000 upd=29 pv=29
[sync][118/128 t=355.2s] gen_s=2.612 tok_s=36.756 r=0.000 upd=29 pv=29
[sync][119/128 t=357.9s] gen_s=2.617 tok_s=36.690 r=0.000 upd=29 pv=29
[sync][120/128 t=360.9s] gen_s=2.647 tok_s=36.275 r=0.000 upd=30 pv=30
[sync][121/128 t=363.6s] gen_s=2.654 tok_s=36.176 r=0.000 upd=30 pv=30
[sync][122/128 t=366.2s] gen_s=2.651 tok_s=36.216 r=0.000 upd=30 pv=30
[sync][123/128 t=368.9s] gen_s=2.675 tok_s=35.894 r=0.000 upd=30 pv=30
[sync][124/128 t=371.9s] gen_s=2.619 tok_s=36.663 r=0.000 upd=31 pv=31
[sync][125/128 t=374.4s] gen_s=2.546 tok_s=37.711 r=0.000 upd=31 pv=31
[sync][126/128 t=377.0s] gen_s=2.553 tok_s=37.602 r=0.000 upd=31 pv=31
[sync][127/128 t=379.5s] gen_s=2.545 tok_s=37.731 r=0.000 upd=31 pv=31
[sync][128/128 t=382.5s] gen_s=2.585 tok_s=37.139 r=0.000 upd=32 pv=32
Sync training baseline finished.
